appid,release_date
10,01.11.2000
20,01.04.1999
30,01.05.2003
40,01.06.2001
50,01.11.1999
60,01.11.2000
70,08.11.1998
80,01.03.2004
130,01.06.2001
220,16.11.2004
240,01.11.2004
280,01.06.2004
300,12.07.2010
320,01.11.2004
340,27.10.2005
360,01.05.2006
380,01.06.2006
400,10.10.2007
420,10.10.2007
440,10.10.2007
500,17.11.2008
550,19.11.2009
570,09.07.2013
620,18.04.2011
630,19.07.2010
730,21.08.2012
1002,12.10.2005
1200,14.03.2006
1250,14.05.2009
1300,10.05.2006
1500,14.07.2005
1510,23.08.2006
1520,29.09.2006
1530,19.09.2008
1600,07.02.2006
1610,07.02.2006
1630,06.07.2006
1640,06.07.2006
1670,26.07.2006
1690,16.10.2006
1700,03.04.2007
1840,10.07.2012
1900,01.04.2006
1930,30.04.2009
2100,25.10.2006
2200,03.08.2007
2210,04.08.2011
2270,03.08.2007
2280,03.08.2007
2290,03.08.2007
2300,03.08.2007
2310,03.08.2007
2320,03.08.2007
2330,03.08.2007
2340,03.08.2007
2350,03.08.2007
2360,03.08.2007
2370,03.08.2007
2390,03.08.2007
2400,11.07.2006
2450,29.10.2010
2500,08.05.2006
2520,19.12.2006
2590,07.11.2007
2600,22.03.2007
2610,13.10.2006
2620,13.10.2006
2630,13.10.2006
2640,13.10.2006
2710,12.03.2008
2720,12.07.2007
2780,12.03.2008
2800,21.07.2006
2810,21.07.2006
2820,16.10.2008
2840,08.10.2010
2850,08.10.2010
2870,15.11.2013
2900,26.10.2006
2910,26.10.2006
2920,26.10.2006
2990,21.12.2006
3010,24.08.2006
3020,08.11.2007
3050,08.10.2008
3130,01.11.2009
3170,19.11.2009
3230,06.08.2007
3260,29.08.2007
3270,30.10.2007
3330,30.08.2006
3410,30.08.2006
3480,06.03.2007
3483,11.09.2007
3490,25.06.2007
3500,16.10.2007
3510,13.12.2007
3520,05.06.2008
3530,15.04.2009
3540,15.10.2008
3560,18.11.2008
3570,28.01.2009
3580,18.02.2009
3590,05.05.2009
3600,15.04.2009
3610,27.07.2009
3620,15.09.2009
3700,16.07.2009
3710,26.03.2009
3720,22.06.2009
3730,15.01.2010
3800,14.09.2006
3810,14.09.2006
3820,14.09.2006
3830,11.10.2006
3900,25.10.2006
3910,25.10.2006
3920,11.07.2005
3960,25.10.2006
3980,06.04.2007
3990,06.04.2007
4000,29.11.2006
4100,05.10.2006
4230,24.11.2006
4290,22.06.2007
4300,07.11.2006
4420,20.03.2007
4460,29.09.2008
4470,18.07.2008
4500,20.03.2007
4520,17.07.2007
4530,17.07.2007
4560,17.07.2007
4570,07.08.2007
4580,07.08.2007
4700,15.11.2006
4720,29.10.2012
4760,28.08.2007
4770,28.08.2007
4780,28.08.2007
4800,22.11.2006
4850,02.09.2010
4870,26.08.2011
4880,26.08.2011
4890,26.08.2011
4900,14.12.2006
4920,30.10.2012
6000,08.07.2009
6010,08.07.2009
6020,16.09.2009
6030,16.09.2009
6040,08.07.2009
6060,08.07.2009
6080,08.07.2009
6090,08.07.2009
6120,25.10.2010
6200,21.12.2006
6210,21.12.2006
6220,02.02.2007
6250,13.03.2007
6270,21.09.2007
6300,12.01.2007
6310,01.05.2007
6370,28.10.2011
6400,27.03.2007
6420,03.07.2007
6510,29.06.2007
6550,12.06.2007
6800,15.03.2007
6810,15.03.2007
6830,15.03.2007
6840,15.03.2007
6850,15.03.2007
6860,15.03.2007
6870,15.03.2007
6880,15.03.2007
6900,15.03.2007
6910,29.03.2007
6920,29.03.2007
6980,29.03.2007
7000,29.03.2007
7010,29.03.2007
7020,29.03.2007
7110,27.02.2007
7200,16.04.2008
7210,14.03.2007
7220,14.03.2007
7260,05.10.2007
7340,21.04.2010
7510,30.04.2009
7520,03.02.2011
7530,14.06.2011
7600,04.05.2007
7610,04.05.2007
7620,04.05.2007
7650,04.05.2007
7660,04.09.2008
7730,04.09.2008
7760,04.09.2008
7770,04.09.2008
7830,06.05.2009
7840,06.05.2009
7860,20.05.2009
7940,12.11.2007
8000,05.06.2007
8080,13.12.2007
8100,08.02.2008
8140,21.11.2008
8170,13.05.2009
8190,23.03.2010
8310,17.06.2008
8320,17.06.2008
8330,17.06.2008
8340,18.12.2008
8400,18.06.2007
8500,15.12.2010
8600,15.10.2007
8790,12.12.2012
8800,24.07.2007
8870,25.03.2013
8880,29.05.2009
8890,29.05.2009
8930,23.09.2010
8970,06.10.2010
9000,03.08.2007
9010,03.08.2007
9030,03.08.2007
9040,03.08.2007
9050,03.08.2007
9060,03.08.2007
9160,03.08.2007
9180,03.08.2007
9200,03.10.2011
9310,07.08.2007
9340,24.09.2007
9350,28.09.2011
9420,28.09.2011
9450,07.03.2008
9460,29.02.2008
9480,07.01.2009
9500,20.07.2007
9710,12.03.2008
9760,12.03.2008
9800,12.03.2008
9850,06.05.2009
9880,14.06.2011
9900,31.01.2012
9940,22.05.2014
